date,1. open,2. high,3. low,4. close,5. volume
2018-11-14,1007.3394,1014.4956,990.9304,999.226,848161.0
2018-11-13,980.8114,1005.334,976.3444,1002.3712,733789.0
2018-11-12,1001.414,1002.827,979.3528,983.4094,523484.0
2018-11-09,1008.2512,1014.906,990.0188,996.7192,766667.0
2018-11-06,997.5852,1013.6752,996.4456,1005.9264,1334881.0
2018-11-05,979.0792,996.8558,970.4188,992.3434,10200268.0
2018-11-02,973.4272,985.4606,969.0514,979.3072,8698179.0
2018-11-01,972.151,974.3388,957.474,963.4906,795450.0
2018-10-31,970.6012,971.5128,955.0582,967.5928,6366346.0
2018-10-30,991.3406,991.3406,959.0236,963.7184,1127001.0
2018-10-29,955.1036,996.5368,954.4656,991.842,1081315.0
2018-10-26,948.0842,963.3538,931.8118,952.3688,1308040.0
2018-10-25,944.4378,948.1298,927.117,939.1504,1422281.0
2018-10-24,979.0792,979.9454,939.8796,954.101,1180239.0
2018-10-23,959.9352,970.4188,951.4572,959.5706,1064892.0
2018-10-22,1012.8092,1016.2734,963.9008,968.55,1305453.0
2018-10-19,1006.3368,1011.8976,978.3044,1004.2856,2950890.0
2018-10-17,1075.711,1076.577,1040.1578,1047.3596,2933639.0
2018-10-16,1044.8526,1064.7716,1039.9754,1060.806,937737.0
2018-10-15,1033.1384,1045.035,1020.33,1039.0638,803094.0
2018-10-12,1005.0604,1029.2184,1004.6046,1026.8482,900698.0
2018-10-11,973.4272,1015.9088,950.8646,992.9358,1545361.0
2018-10-10,998.2232,1016.1822,989.1982,1004.9236,817141.0
2018-10-09,1022.0166,1024.2044,985.2328,994.0298,1252062.0
2018-10-08,956.152,1016.7748,934.5922,1010.0288,2686592.0
2018-10-05,1005.1516,1016.957,947.674,957.0636,2351128.0
2018-10-04,1093.0318,1093.0318,1007.385,1021.5152,2993045.0
2018-10-03,1124.118,1130.1802,1092.7582,1098.775,869034.0
2018-10-01,1146.9996,1148.6404,1097.8632,1122.705,740575.0
2018-09-28,1148.6404,1158.7594,1137.382,1146.9996,1308458.0
2018-09-27,1148.4582,1151.6032,1129.1318,1142.168,786265.0
2018-09-26,1126.0324,1143.262,1118.3748,1141.1196,681797.0
2018-09-25,1124.3002,1134.875,1090.069,1121.8388,801119.0
2018-09-24,1108.5292,1130.317,1097.8178,1123.3886,912368.0
2018-09-21,1112.2214,1127.7644,1078.6282,1109.3042,1143507.0
